Domain,MX Records Exist?,MX Provider,MX (Lowest Preference),SPF Record Exists?,SPF Record,SPF Mechanism (Mode),DMARC Record Exists?,DMARC Record,DMARC Domain Policy (Mode),DMARC Subdomain Policy (Mode),O365 Exchange Online?,O365 Tenant Name,O365 DKIM Enabled?,O365 Federated?,O365 Federation Provider,O365 Federation Hostname,O365 Federation Brand Name,O365/AzureAD Directory ID,O365/AzureAD is Unmanaged?,MTA-STS Record Exists?,MTA-STS Policy Mode,MTA-STS Allowed MX Hosts,DNS Registrar,DNS Host,DNSSEC DNSKEY Record Exists?
asia.com,True,Other/Undetermined,mx00.mail.com,True,v=spf1 redirect=mail.com,Other/Undetermined,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,,,False,False,,,ggorman.easylink.com,"pdns3.ultradns.org,pdns4.ultradns.org,pdns5.ultradns.info,pdns6.ultradns.co.uk,pdns1.ultradns.net,pdns2.ultradns.net",False
autorambler.ru,True,Other/Undetermined,inmx.rambler.ru,True,v=spf1 ip4:81.19.78.96/27 ip4:81.19.78.0/27 ip4:81.19.88.0/24 -exists:%{ir}.spf.rambler.ru ~all,SOFTFAIL,True,v=DMARC1; p=none; rua=mailto:rua_dmarc@rambler-co.ru; ruf=mailto:ruf_dmarc@rambler-co.ru,NONE,,No,N/A,N/A,False,N/A,N/A,autorambler.ru,f54e3f94-19c4-4b6c-8a18-bf8007bc9d79,True,False,,,dns.rambler-co.ru,"ns3.rambler.ru,ns4.rambler.ru,ns5.rambler.ru,ns2.rambler.ru",False
azet.sk,True,Other/Undetermined,smtp2.azet.sk,True,v=spf1 a ip4:91.235.52.0/22 a:smtp.azet.sk a:smtp2.azet.sk a:smtp-01-out.s.azet.sk -all,FAIL,True,v=DMARC1; p=quarantine; pct=100; adkim=r; aspf=r; sp=quarantine; rua=mailto:test.jun@azet.sk; ruf=mailto:test.jun@azet.sk,QUARANTINE,QUARANTINE,No,N/A,N/A,False,N/A,N/A,azet.sk,2f8d44ac-7a6e-444f-a9e8-af368c67752c,True,False,,,hostmaster.etech.sk,"ns3.etech.sk,ns1.etech.sk,ns2.etech.sk",False
bbox.fr,True,Other/Undetermined,mx.bbox.fr,True,v=spf1 ip4:194.158.98.0/24 ip4:212.195.103.0/25 ip6:2001:0860:e200:0000:c000::/66 ip6:2001:0860:e206:0000:c000::/66 ?all,NEUTRAL,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,bbox.fr,ddf36cba-47ae-4b69-ae69-6f6e7615347b,True,False,,,dnsextmaster.bouyguestelecom.fr,"ns2.perf1.fr,ns2.bouyguesbox.fr,ns1.bouyguesbox.fr",False
bigmir.net,True,Other/Undetermined,mx3.bigmir.net,True,v=spf1 ip4:193.239.68.0/22 ip4:213.186.116.119 ip4:193.84.72.0/24 mx ~all,SOFTFAIL,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,bigmir.net,8365ae65-e6bd-4f45-93f9-f310a142af17,True,False,,,register.kpmedia.ua,"ns0.sputnikmedia.net,ns1.sputnikmedia.net,ns3.sputnikmedia.net",False
bigpond.com,True,Other/Undetermined,extmail.bigpond.com,True,v=spf1 ip4:61.9.168.0/24 ip4:61.9.189.0/24 ip4:61.9.169.0/24 ip4:61.9.190.0/24 ip4:203.38.21.0/24 ip4:144.135.11.32/27 ip4:203.36.137.224/27 ip4:203.36.172.96/27 ?all,NEUTRAL,True,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:SPFReports@team.telstra.com; ruf=mailto:SPFReports@team.telstra.com,NONE,,No,N/A,N/A,True,Other/Undetermined,login.live.com,Windows Live,9cd80435-793b-4f48-844b-6b3f37d1c1f3,False,False,,,hostmaster.bigpond.com,"adns04.bigpond.com,adns01.bigpond.com,adns02.bigpond.com,adns03.bigpond.com",False
bk.ru,True,Other/Undetermined,mxs.mail.ru,True,v=spf1 redirect=_spf.mail.ru,Other/Undetermined,True,System.Object[],,,No,N/A,N/A,False,N/A,N/A,bk.ru,ba4e210d-8ce6-4e29-9b24-7f63812b4baa,True,False,,,gabrelyan.corp.mail.ru,"ns2.mail.ru,ns1.mail.ru",False
bluewin.ch,True,Other/Undetermined,mxbw.lb.bluewin.ch,True,v=spf1 redirect=_spf.bluewin.ch,Other/Undetermined,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,,,False,False,,,admin.dns.swisscom.com,"adnsz1.bluewin.ch,adnsz2.bluewin.ch,adnso1.bluewin.ch,adnso2.bluewin.ch",False
blueyonder.co.uk,True,Other/Undetermined,mx.tb.ukmail.iss.as9143.net,True,v=spf1 include:_spf.blueyonder.co.uk ~all,SOFTFAIL,True,v=DMARC1; p=quarantine; rua=mailto:jn2qdxcl@ag.dmarcian-eu.com; ruf=mailto:jn2qdxcl@fr.dmarcian-eu.com;,QUARANTINE,,No,N/A,N/A,False,N/A,N/A,blueyonder.co.uk,969e6c51-0fe8-4556-8828-9d438708e624,True,False,,,hostmaster.virginmedia.net,"ns1.virginmedia.net,ns2.virginmedia.net,ns3.virginmedia.net,ns4.virginmedia.net",False
borda.ru,True,Other/Undetermined,smtp.borda.ru,True,10v=spf1 +a +mx -all,FAIL,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,borda.ru,a50c8b2e-76cc-4e9a-8e62-d698bea82ff5,True,False,,,admin.krasview.ru,"ns2.krasview.ru,ns2.salenames.ru,ns.krasview.ru",False
btinternet.com,True,Other/Undetermined,mx.lb.btinternet.com,True,v=spf1 ip4:65.20.0.0/24 ip4:213.120.69.0/24 ip4:212.140.95.0/24 include:bt.com include:_spf.mail.yahoo.com ~all,SOFTFAIL,True,v=DMARC1; p=reject; sp=reject; pct=100; fo=1; rua=mailto:dmarcagg@btinternet.com; ruf=mailto:dmarcf@btinternet.com;,REJECT,REJECT,No,N/A,N/A,False,N/A,N/A,,,False,False,,,zzdnsr.bt.com,"dydns0.bt.com,dydns1.bt.com,eddns0.bt.com,eddns1.bt.com",False
centrum.sk,True,Other/Undetermined,cax.virusfree.cz,True,v=spf1 redirect=_spf.centrum.cz,Other/Undetermined,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,centrum.sk,a37ae282-c4f3-46b8-9dd4-586715498cac,True,False,,,dns.cloudflare.com,"chuck.ns.cloudflare.com,erin.ns.cloudflare.com",False
citromail.hu,True,Other/Undetermined,server99.citromail.hu,True,v=spf1 ip4:91.83.45.0/26 a mx ?all,NEUTRAL,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,citromail.hu,7cf0470e-c371-4ec7-9782-074a563f83d5,True,False,,,dns-admin.p24.hu,"ns1.p24.hu,ns2.p24.hu,ns3.p24.hu",False
comcast.net,True,Other/Undetermined,mx1.comcast.net,True,v=spf1 ip4:69.252.207.32/28 ip4:96.114.154.160/28 include:_spfv6.comcast.net include:_spf.mdp.comcast.net ?all,NEUTRAL,True,v=DMARC1; p=none; rua=mailto:dmarc-rua@dmarctest.comcast.net;,NONE,,No,N/A,N/A,False,N/A,N/A,,,False,False,,,domregtech.comcastonline.com,"dns102.comcast.net,dns103.comcast.net,dns104.comcast.net,dns105.comcast.net,dns101.comcast.net",True
contracted.pmi.com,True,Microsoft Exchange Online,contracted-pmi-com.mail.protection.outlook.com,True,v=spf1 ip4:193.222.161.210 ip4:193.222.161.211 include:spf.protection.outlook.com -all,FAIL,False,N/A,N/A,N/A,Yes,contracted-pmi-com,True,False,N/A,N/A,Philip Morris International,8b86a65e-3c3a-4406-8ac3-19a6b5cc52bc,False,False,,,hostmaster.cscdns.net,,False
cox.net,True,Other/Undetermined,cxr.mx.a.cloudfilter.net,True,v=spf1 include:cxr.spf.a.cloudfilter.net. ip4:68.230.240.0/24 ip4:68.230.241.0/24 ?all,NEUTRAL,True,"v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:cox@rua.agari.com,mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:cox@ruf.agari.com,mailto:dmarc_ruf@emaildefense.proofpoint.com",NONE,,No,N/A,N/A,False,N/A,N/A,,,False,False,,,hostmaster.cox.net,"ns.cox.net,ns.east.cox.net,ns.west.cox.net",False
dalekseev.pp.ua,True,Other/Undetermined,mx.zoho.eu,True,v=spf1 include:zoho.eu ~all,SOFTFAIL,True,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:postmaster@dalekseev.pp.ua,QUARANTINE,QUARANTINE,No,N/A,N/A,False,N/A,N/A,,,False,False,,,hostmaster.he.net,"ns5.he.net,ns1.he.net,ns2.he.net,ns3.he.net,ns4.he.net",False
disroot.org,True,Other/Undetermined,disroot.org,True,v=spf1 a mx -all,FAIL,True,v=DMARC1; p=none; rua=mailto:abuse@disroot.org;ruf=mailto:abuse@disroot.org;,NONE,,No,N/A,N/A,False,N/A,N/A,disroot.org,1aaf1d5c-0921-4699-836e-9f23f1858a68,True,True,TESTING,"disroot.org,mx01.disroot.org",hostmaster.disroot.org,"ns3.greenhost.nl,ns1.greenhost.nl,ns2.greenhost.net",True
dr.com,True,Other/Undetermined,mx00.mail.com,True,v=spf1 redirect=mail.com,Other/Undetermined,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,,,False,False,,,ggorman.easylink.com,"pdns2.ultradns.net,pdns3.ultradns.org,pdns4.ultradns.org,pdns5.ultradns.info,pdns6.ultradns.co.uk,pdns1.ultradns.net",False
earthlink.net,True,Other/Undetermined,mx9.earthlink.net,True,v=spf1 mx a ip4:207.69.195.0/24 ip4:209.86.89.0/24 ip4:207.69.200.0/24 ip4:207.69.189.0/24 ip4:209.86.61.0/24 ip4:208.89.14.209/32 ip4:208.89.13.209/32 ip4:208.89.14.202/32 ~all,SOFTFAIL,True,v=DMARC1; p=none; rua=mailto:dmarc@abuse.earthlink.net; ruf=mailto:dmarc@abuse.earthlink.net; fo=0; adkim=r; aspf=r; pct=100; rf=afrf; ri=86400; sp=none;,NONE,NONE,No,N/A,N/A,False,N/A,N/A,,,False,False,,,hostmaster.earthlink.net,"scratchy.earthlink.net,itchy.earthlink.net",False
eff.org,True,Other/Undetermined,mail2.eff.org,True,v=spf1 mx ip4:173.239.79.202 include:spf1.eff.org include:spf2.eff.org -all,FAIL,True,v=DMARC1; p=none; rua=mailto:dmarc_rua@eff.org; ruf=mailto:dmarc_ruf@eff.org;,NONE,,No,N/A,N/A,False,N/A,N/A,,,False,False,,,hostmaster.eff.org,"ns1.eff.org,ns2.eff.org,ns4.eff.org",False
email.com,True,Other/Undetermined,mx01.mail.com,True,v=spf1 redirect=mail.com,Other/Undetermined,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,,,False,False,,,ggorman.easylink.com,"pdns5.ultradns.info,pdns6.ultradns.co.uk,pdns1.ultradns.net,pdns2.ultradns.net,pdns3.ultradns.org,pdns4.ultradns.org",False
email.cz,True,Other/Undetermined,mx1.seznam.cz,True,v=spf1 mx ip4:77.75.78.0/23 ip4:77.75.76.0/23 ip6:2a02:598::/32 ?all,NEUTRAL,True,v=DMARC1; p=none; rua=mailto:abuse@seznam.cz,NONE,,No,N/A,N/A,False,N/A,N/A,email.cz,474e035f-990e-41eb-a2f5-9581ba307e68,True,False,,,hostmaster.seznam.cz,"ans.seznam.cz,ams.seznam.cz",True
email.it,True,Other/Undetermined,mx.email.it,True,v=spf1 a:email.it ip4:212.97.34.0/25 ip4:128.65.127.0/26 -all,FAIL,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,email.it,7dd372de-956d-4536-bee4-dbb1d28e51c4,True,False,,,hostmaster.email.it,"ns1.zmbox.it,ns2.zmbox.it",False
email.ua,True,Other/Undetermined,out12.mi6.kiev.ua,True,v=spf1 ip4:91.198.36.0/25 ip4:185.187.81.138 ?all,NEUTRAL,True,v=DMARC1; p=none; rua=mailto:dmarc-rua@mi6.kiev.ua,NONE,,No,N/A,N/A,False,N/A,N/A,email.ua,fb725b46-2638-4f4a-95c9-e794afb1dbba,True,False,,,hostmaster.mi6.kiev.ua.email.ua,"ns0.mi6.kiev.ua,ns2.mi6.kiev.ua",False
europe.com,True,Other/Undetermined,mx00.mail.com,True,v=spf1 redirect=mail.com,Other/Undetermined,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,,,False,False,,,ggorman.easylink.com,"pdns6.ultradns.co.uk,pdns1.ultradns.net,pdns2.ultradns.net,pdns3.ultradns.org,pdns4.ultradns.org,pdns5.ultradns.info",False
facebook.com,True,Other/Undetermined,smtpin.vvv.facebook.com,True,v=spf1 redirect=_spf.facebook.com,Other/Undetermined,True,v=DMARC1; p=reject; rua=mailto:a@dmarc.facebookmail.com; pct=100,REJECT,,No,N/A,N/A,False,N/A,N/A,,,False,False,,,dns.facebook.com,"b.ns.facebook.com,a.ns.facebook.com",False
fotoplenka.ru,True,Other/Undetermined,mx.yandex.net,True,v=spf1 redirect=_spf.yandex.net,Other/Undetermined,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,,,False,False,,,noc.qip.ru,"ns1.fotoplenka.ru,ns2.fotoplenka.ru",False
freenet.de,True,Other/Undetermined,emig.freenet.de,True,v=spf1 ip4:195.4.92.0/23 ip6:2001:748:100:40::2:0/112 ~all,SOFTFAIL,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,freenet.de,293e0b51-c581-43b0-bccb-38b2e796b254,True,False,,,hostmaster.mcbone.net,"ns2.freenet.de,dns.roka.net,ns2.roka.net",True
front.ru,True,Other/Undetermined,mx.yandex.net,False,,N/A,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,front.ru,9c0c82a4-daa2-448d-a456-0d3e7d7aac4e,True,False,,,noc.qip.ru,"ns2.qip.ru,ns1.qip.ru",False
gmail.com,True,Other/Undetermined,gmail-smtp-in.l.google.com,True,v=spf1 redirect=_spf.google.com,Other/Undetermined,True,v=DMARC1; p=none; sp=quarantine; rua=mailto:mailauth-reports@google.com,NONE,QUARANTINE,No,N/A,N/A,True,Other/Undetermined,login.live.com,Windows Live,9cd80435-793b-4f48-844b-6b3f37d1c1f3,False,True,ENFORCE,"gmail-smtp-in.l.google.com
,*.gmail-smtp-in.l.google.com
",dns-admin.google.com,"ns4.google.com,ns1.google.com,ns2.google.com,ns3.google.com",False
gmx.at,True,Other/Undetermined,mx00.emig.gmx.net,True,v=spf1 redirect=gmx.net,Other/Undetermined,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,gmx.at,98eaa584-d1dc-40ff-8a10-7131f1cbe014,True,False,,,hostmaster.gmx.net,"ns-gmx.ui-dns.biz,ns-gmx.ui-dns.com,ns-gmx.ui-dns.org,ns-gmx.ui-dns.de",True
gmx.ch,True,Other/Undetermined,mx01.emig.gmx.net,True,v=spf1 redirect=gmx.net,Other/Undetermined,False,N/A,N/A,N/A,No,N/A,N/A,True,Other/Undetermined,login.live.com,Windows Live,9cd80435-793b-4f48-844b-6b3f37d1c1f3,False,False,,,hostmaster.gmx.net,"ns-gmx.ui-dns.de,ns-gmx.ui-dns.biz,ns-gmx.ui-dns.com,ns-gmx.ui-dns.org",True
gmx.com,True,Other/Undetermined,mx01.gmx.net,True,v=spf1 ip4:213.165.64.0/23 ip4:74.208.5.64/26 ip4:74.208.122.0/26 ip4:212.227.126.128/25 ip4:212.227.15.0/24 ip4:212.227.17.0/27 ip4:74.208.4.192/26 ip4:82.165.159.0/24 ip4:217.72.207.0/27 -all,FAIL,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,gmx.com,97fdead1-2475-490c-bb82-94a2306478bf,True,True,TESTING,"mx00.gmx.net,mx01.gmx.net",hostmaster.gmx.net,"ns-gmx.ui-dns.com,ns-gmx.ui-dns.org,ns-gmx.ui-dns.de,ns-gmx.ui-dns.biz",True
gmx.de,True,Other/Undetermined,mx00.emig.gmx.net,True,v=spf1 redirect=gmx.net,Other/Undetermined,False,N/A,N/A,N/A,No,N/A,N/A,True,Other/Undetermined,login.live.com,Windows Live,9cd80435-793b-4f48-844b-6b3f37d1c1f3,False,False,,,dnsadmin.1und1.de,"ns-gmx.ui-dns.org,ns-gmx.ui-dns.de,ns-gmx.ui-dns.biz,ns-gmx.ui-dns.com",True
gmx.net,True,Other/Undetermined,mx00.emig.gmx.net,True,v=spf1 ip4:213.165.64.0/23 ip4:74.208.5.64/26 ip4:212.227.126.128/25 ip4:212.227.15.0/25 ip4:212.227.17.0/27 ip4:74.208.4.192/26 ip4:82.165.159.0/24 ip4:217.72.207.0/27 ip4:82.165.229.31 ip4:82.165.230.21 -all,FAIL,False,N/A,N/A,N/A,No,N/A,N/A,True,Other/Undetermined,login.live.com,Windows Live,9cd80435-793b-4f48-844b-6b3f37d1c1f3,False,True,TESTING,"mx00.emig.gmx.net,mx01.emig.gmx.net",dnsadmin.1und1.de,"ns-gmx.ui-dns.org,ns-gmx.ui-dns.de,ns-gmx.ui-dns.biz,ns-gmx.ui-dns.com",True
gmx.us,True,Other/Undetermined,mx00.gmx.net,True,v=spf1 redirect=gmx.com,Other/Undetermined,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,gmx.us,3040f449-ded2-4f4b-bbc4-6c68cf6bc47a,True,False,,,dnsadmin.ionos.com,"ns-mam.ui-dns.org,ns-mam.ui-dns.de,ns-mam.ui-dns.biz,ns-mam.ui-dns.com",False
google.com,True,Google,aspmx.l.google.com,True,v=spf1 include:_spf.google.com ~all,SOFTFAIL,True,v=DMARC1; p=reject; rua=mailto:mailauth-reports@google.com,REJECT,,No,N/A,N/A,False,N/A,N/A,google.com,0f8cb250-b44f-4acd-b24e-2524ef9f85ac,True,True,ENFORCE,"aspmx.l.google.com
,*.aspmx.l.google.com
",dns-admin.google.com,"ns1.google.com,ns2.google.com,ns3.google.com,ns4.google.com",False
googlemail.com,True,Other/Undetermined,gmail-smtp-in.l.google.com,True,v=spf1 redirect=_spf.google.com,Other/Undetermined,True,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:mailauth-reports@google.com,QUARANTINE,QUARANTINE,No,N/A,N/A,True,Other/Undetermined,login.live.com,Windows Live,9cd80435-793b-4f48-844b-6b3f37d1c1f3,False,True,ENFORCE,"gmail-smtp-in.l.google.com
,*.gmail-smtp-in.l.google.com
",dns-admin.google.com,"ns4.google.com,ns1.google.com,ns2.google.com,ns3.google.com",False
hot.ee,True,Other/Undetermined,mx1.hot.ee,True,v=spf1 redirect=_spf.hot.ee,Other/Undetermined,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,hot.ee,ec8f0b96-7c48-483d-931c-9da5ccf596ef,True,False,,,hostmaster.elion.ee,"ns.elion.ee,ns2.elion.ee",False
hotbox.ru,True,Other/Undetermined,mx.yandex.net,False,,N/A,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,hotbox.ru,104a4bd1-d3a8-47c3-ab68-1fd91f7b8c1f,True,False,,,noc.qip.ru,"ns2.hotbox.ru,ns1.hotbox.ru",False
hotmail.be,True,Other/Undetermined,eur.olc.protection.outlook.com,True,v=spf1 include:spf-a.hotmail.com include:spf-b.hotmail.com include:spf-c.hotmail.com include:spf-d.hotmail.com include:spf.protection.outlook.com ~all,SOFTFAIL,True,v=DMARC1; p=none; rua=mailto:d@rua.agari.com;ruf=mailto:d@ruf.agari.com;fo=1:s:d,NONE,,Yes,Undetermined,False,True,Other/Undetermined,login.live.com,Windows Live,9cd80435-793b-4f48-844b-6b3f37d1c1f3,False,False,,,azuredns-hostmaster.microsoft.com,"ns1-09.azure-dns.com,ns2-09.azure-dns.net,ns3-09.azure-dns.org,ns4-09.azure-dns.info",False
hotmail.ca,True,Other/Undetermined,hotmail-ca.olc.protection.outlook.com,True,v=spf1 include:spf-a.hotmail.com include:spf-b.hotmail.com include:spf-c.hotmail.com include:spf-d.hotmail.com include:spf.protection.outlook.com ~all,SOFTFAIL,True,v=DMARC1; p=none; rua=mailto:d@rua.agari.com;ruf=mailto:d@ruf.agari.com;fo=1:s:d,NONE,,Yes,Undetermined,False,True,Other/Undetermined,login.live.com,Windows Live,9cd80435-793b-4f48-844b-6b3f37d1c1f3,False,False,,,msnhst.microsoft.com,"ns4.msft.net,ns1.msft.net,ns2.msft.net,ns3.msft.net",False
hotmail.cl,True,Other/Undetermined,nam.olc.protection.outlook.com,True,v=spf1 include:spf-a.hotmail.com include:spf-b.hotmail.com include:spf-c.hotmail.com include:spf-d.hotmail.com include:spf.protection.outlook.com ~all,SOFTFAIL,True,v=DMARC1; p=none; rua=mailto:d@rua.agari.com;ruf=mailto:d@ruf.agari.com;fo=1:s:d,NONE,,Yes,Undetermined,False,True,Other/Undetermined,login.live.com,Windows Live,9cd80435-793b-4f48-844b-6b3f37d1c1f3,False,False,,,azuredns-hostmaster.microsoft.com,"ns1-06.azure-dns.com,ns2-06.azure-dns.net,ns3-06.azure-dns.org,ns4-06.azure-dns.info",False
hotmail.co.id,True,Other/Undetermined,apc.olc.protection.outlook.com,True,v=spf1 include:spf-a.hotmail.com include:spf-b.hotmail.com include:spf-c.hotmail.com include:spf-d.hotmail.com include:spf.protection.outlook.com ~all,SOFTFAIL,True,v=DMARC1; p=none; rua=mailto:d@rua.agari.com;ruf=mailto:d@ruf.agari.com;fo=1:s:d,NONE,,Yes,Undetermined,False,True,Other/Undetermined,login.live.com,Windows Live,9cd80435-793b-4f48-844b-6b3f37d1c1f3,False,False,,,azuredns-hostmaster.microsoft.com,"ns4-03.azure-dns.info,ns1-03.azure-dns.com,ns2-03.azure-dns.net,ns3-03.azure-dns.org",False
hotmail.co.il,True,Other/Undetermined,eur.olc.protection.outlook.com,True,v=spf1 include:spf-a.hotmail.com include:spf-b.hotmail.com include:spf-c.hotmail.com include:spf-d.hotmail.com include:spf.protection.outlook.com ~all,SOFTFAIL,True,v=DMARC1; p=none; rua=mailto:d@rua.agari.com;ruf=mailto:d@ruf.agari.com;fo=1:s:d,NONE,,Yes,Undetermined,False,True,Other/Undetermined,login.live.com,Windows Live,9cd80435-793b-4f48-844b-6b3f37d1c1f3,False,False,,,azuredns-hostmaster.microsoft.com,"ns1-04.azure-dns.com,ns2-04.azure-dns.net,ns3-04.azure-dns.org,ns4-04.azure-dns.info",False
